2139.75,2.21,3.15,0.0,1046.67,725.11,
2236.56,2.21,3.3,0.0,1011.64,786.99,
2364.81,2.21,3.11,0.0,997.69,838.55,
2521.32,2.21,3.13,0.0,912.92,888.45,
2723.11,2.21,3.3,0.0,911.44,874.91,
2949.85,2.22,3.37,0.0,846.52,804.99,
3122.75,2.22,3.53,0.0,721.41,671.39,
3241.47,2.22,3.39,0.0,555.3,602.27,
3097.29,2.22,3.53,0.08,388.08,445.98,
2990.51,2.23,3.32,1.09,268.62,345.49,
3023.58,2.22,4.28,6.23,172.4,204.73,
3090.77,2.22,3.95,16.1,118.11,165.22,
3074.63,2.23,3.59,27.49,148.47,208.24,
3112.47,2.18,3.51,35.18,240.84,229.96,
3059.0,1.1,3.42,30.23,322.28,203.72,
3003.19,2.11,2.74,16.31,408.66,123.95,
3110.52,2.23,2.36,2.38,534.86,102.64,
3031.43,2.23,2.51,0.02,690.99,74.46,
2614.06,2.22,2.11,0.0,731.78,78.79,
2225.79,2.22,2.03,0.0,751.74,119.05,
2054.73,2.22,2.08,0.0,729.57,188.04,
1996.22,2.22,2.09,0.0,776.22,153.81,
2002.21,2.22,2.84,0.0,810.41,236.8,
2038.64,2.22,2.1,0.0,779.35,413.86,
2108.37,2.22,2.07,0.0,793.67,418.12,
2192.17,2.22,2.06,0.0,780.95,447.9,
2380.18,2.22,2.11,0.0,717.94,467.35,
2609.55,2.22,2.26,0.0,599.56,529.26,
2767.87,2.22,2.29,0.0,513.0,535.17,
2915.73,2.23,2.42,0.0,461.01,475.58,
3054.52,2.23,2.61,0.0,382.47,446.9,
3173.46,2.23,2.63,0.0,269.7,351.23,
2999.76,2.23,2.68,0.22,116.01,212.13,
2905.11,2.23,3.96,8.63,36.76,104.09,
2961.95,2.23,3.62,34.63,13.04,24.93,
3005.79,2.23,3.99,68.9,8.93,19.11,
3003.67,2.23,4.55,104.63,8.82,49.69,
3042.83,2.23,3.17,119.7,13.18,26.27,
3085.19,2.23,2.63,90.8,17.42,0.56,
3052.87,2.23,3.06,38.63,10.87,0.09,
3085.61,2.08,3.05,5.04,10.07,0.52,
2988.77,2.33,3.44,0.03,17.56,0.31,
2577.56,2.32,3.03,0.0,24.7,16.47,
2200.36,2.32,3.27,0.0,25.42,38.11,
2050.89,2.32,3.01,0.0,88.18,17.72,
2022.29,2.31,3.06,0.0,168.4,26.69,
2035.77,2.31,2.89,0.0,221.12,44.76,
2037.59,2.31,2.16,0.0,271.23,87.47,
